Date,ts1,ts2,ts3
2020-10-05,0.027,0.0543,0.1647
2020-10-12,0.0521,0.1149,0.0
2020-10-19,0.106,0.0079,0.3451
2020-10-26,0.0,0.0136,0.0
2020-11-02,0.1124,0.4339,0.0471
2020-11-09,0.0137,0.0564,0.0471
2020-11-16,0.341,0.039,0.0
2020-11-23,0.0809,0.031,0.0235
2020-11-30,0.027,0.0254,0.0235
2020-12-07,0.2939,0.0387,0.0471
2020-12-14,0.681,0.0371,0.0471
2020-12-21,0.0402,0.0,0.0
2020-12-28,0.0,0.0232,0.0
2021-01-04,0.0137,0.0428,0.3961
2021-01-11,0.0676,0.0098,0.0941
2021-01-18,0.1069,0.1233,0.0471
2021-01-25,0.0274,0.0431,0.2353
2021-02-01,0.0411,0.0218,0.1843
2021-02-08,0.4685,0.0482,0.1176
2021-02-15,0.1239,0.0295,0.0
2021-02-22,0.2454,0.0274,0.0471
2021-03-01,0.1613,0.0,0.0706
2021-03-08,0.0676,0.0,0.0471
2021-03-15,0.16,0.0098,0.0
2021-03-22,0.3099,0.0255,0.0235
2021-03-29,0.1069,0.1152,0.1412
2021-04-05,0.0,0.0214,0.0
2021-04-12,0.0137,0.0,0.0
2021-04-19,0.4717,0.0349,0.3451
2021-04-26,0.0672,0.01,0.2314
2021-05-03,0.0946,0.0254,0.1176
2021-05-10,0.2271,0.0197,0.349
2021-05-17,0.0544,0.0078,0.0235
2021-05-24,0.0804,0.0,0.0
2021-05-31,0.0,0.0078,0.0235
2021-06-07,0.1737,0.0231,0.1137
2021-06-14,0.4657,0.0329,0.0
2021-06-21,0.0137,0.0098,0.2314
2021-06-28,0.0667,0.0447,0.2784
2021-07-05,0.027,0.002,0.1843
2021-07-12,0.0,0.0119,0.0
2021-07-19,0.0402,0.0271,0.251
2021-07-26,0.308,0.029,0.0
2021-08-02,0.2002,0.004,0.0
2021-08-09,0.0516,0.0292,0.1843
2021-08-16,0.0,0.0385,0.0
2021-08-23,0.0,0.0858,0.0
2021-08-30,0.0544,0.004,0.0
2021-09-06,0.0,0.0,0.0
2021-09-13,0.0,0.035,0.1176
2021-09-20,0.0,0.109,0.2118
2021-09-27,0.4666,0.0216,0.0
2021-10-04,0.0535,0.0158,0.0471
2021-10-11,0.1289,0.0621,0.0
2021-10-18,0.0667,0.0173,0.2314
2021-10-25,0.0,0.0634,0.1647
2021-11-01,0.0402,0.0273,0.0
2021-11-08,0.0137,0.0,0.0471
2021-11-15,0.027,0.0366,0.0
2021-11-22,0.1476,0.1013,0.0
2021-11-29,0.0,0.1136,0.0
2021-12-06,0.027,0.0098,0.0235
2021-12-13,0.5201,0.0,0.1176
2021-12-20,0.0,0.002,0.0
2021-12-27,0.0,0.0,0.0
2022-01-03,0.0,0.0,0.1176
2022-01-10,0.0667,0.0078,0.4627
2022-01-17,0.298,0.039,0.0
2022-01-24,0.0663,0.0442,0.1176
2022-01-31,0.0274,0.0293,0.0
2022-02-07,0.0,0.0384,0.0
2022-02-14,0.1069,0.0176,0.0
2022-02-21,0.2852,0.0077,0.0
2022-02-28,0.3204,0.0059,0.1373
2022-03-07,0.0,0.0666,0.0
2022-03-14,0.0535,0.0115,0.0
2022-03-21,0.0,0.0566,0.0
2022-03-28,0.3716,0.0469,0.0941
2022-04-04,0.1069,0.0039,0.0
2022-04-11,0.3341,0.1531,0.0
2022-04-18,0.0137,0.0,0.0
2022-04-25,0.0,0.0391,0.1176
2022-05-02,0.2409,0.048,0.0
2022-05-09,0.4922,0.1536,0.0
2022-05-16,0.0937,0.2281,0.0
2022-05-23,0.0137,0.0157,0.0
2022-05-30,0.1353,0.0196,0.0
2022-06-06,0.0265,0.0192,0.0
2022-06-13,0.0,0.1001,0.0
2022-06-20,0.0804,0.0889,0.1176
2022-06-27,0.0,0.0546,0.0
2022-07-04,0.2006,0.0275,0.0
2022-07-11,0.0672,0.0039,0.0
2022-07-18,0.0535,0.0156,0.0
2022-07-25,0.0137,0.002,0.3451
2022-08-01,0.2276,0.0176,0.2314
2022-08-08,0.027,0.0385,0.0
2022-08-15,0.0,0.0118,0.0
2022-08-22,0.0,0.0,0.0
2022-08-29,0.0,0.0,0.0
